Abastecimiento de agua;Aprovisionamiento de agua
Abastecimiento de agua;Distribución de agua
Abastecimiento de agua;Necesidad de agua
Abastecimiento de agua;Suministro de agua
Abastecimiento de energía;Aporte de energía
Abastecimiento de energía;Aprovisionamiento de energía
Abastecimiento de energía;Suministro de energía
Abuso de menores;Agresión infantil
Abuso de menores;Maltrato infantil
Abuso de menores;Pedofilia
Abuso de menores;Violencia infantil
Abuso sexual;Acoso sexual
Abuso sexual;Violación
Abuso sexual;Violencia sexual
Acceso a la información;Accesibilidad a la información
Acceso a la información;Barrera a la información
Acceso a la información;Disponibilidad de la información
Acceso a la información;Obstáculo a la comunicación
Acceso aleatorio;Acceso al azar
Acceso aleatorio;Acceso casual
Acceso aleatorio;Acceso directo
Acceso aleatorio;Acceso selectivo
Acción comunitaria;Labor comunitaria
Acción comunitaria;Trabajo comunitario
Acción cultural;Acción sociocultural
Aceite vegetal;Aceite de palma
Acelerador de partículas;Ciclotrón
Acoso;Acoso escolar
Acreditación (educación);Colegio acreditado
Acreditación (educación);Escuela acreditada
Acreditación (educación);Institución educativa acreditada
Actitud de los padres;Actitud parental
Actitud del estudiante;Actitud estudiantil
Actitud laboral;Actitud ante el trabajo
Actividad científica;Actividad de investigación
Actividad cultural;Actividad sociocultural
Actividad de tiempo libre;Actividad de ocio
Actividad fuera de programa;Actividad paraescolar
Actividad solar;Mancha solar
Actividad solar;Perturbación solar
Actualización de los conocimientos;Curso de perfeccionamiento
Acuicultura;Cría de peces
Acuicultura;Piscicultura
Aculturación;Asimilación cultural
Aculturación;Integración cultural
Acumulación de calor;Acumulación calorífica
Acumulación de calor;Acumulación térmica
Acumulación de calor;Almacenamiento de calor
Acústica;Audio
Acústica;Onda acústica
Acústica;Onda sonora
Acústica;Sonido
Acústica;Vibración
Adaptación del estudiante;Adaptación escolar
Administración de empresas;Gestión de empresas
Administración de justicia;Acción judicial
Administración de justicia;Acción jurídica
Administración de justicia;Práctica del derecho
Administración de justicia;Práctica jurídica
Administración de la ciencia;Administración de la investigación
Administración de la ciencia;Administración de la tecnología
Administración de la ciencia;Gestión de la investigación
Administración de la comunicación;Administración de los medios de comunicación
Administración de la comunicación;Gestión de los medios de comunicación
Administración financiera;Gestión financiera
Administración local;Administración regional
Administración local;Autoridad local
Administración local;Autoridad regional
Administración local;Gobierno local
Administración local;Gobierno regional
Administrador de la educación;Decano
Administrador de la educación;Director de colegio
Administrador de la educación;Inspector de la educación
Administrador de la educación;Rector
Adquisiciones;Política de adquisiciónes
Aerodinámica;Dinámica de los gases
Afectividad;Afectos
Afectividad;Amor
Afectividad;Sentimiento
Agencia de noticias;Agencia de información
Agencia de noticias;Servicio de noticias
Agente cultural;Animador cultural
Agente cultural;Animador sociocultural
Agente cultural;Trabajador cultural
Agitación estudiantil;Disturbio estudiantil
Agitación estudiantil;Disturbio universitario
Agitación estudiantil;Revuelta estudiantil
Agitación estudiantil;Revuelta universitaria
Agricultor;Granjero
Agroindustria;Industria agraria
Agroindustria;Industria agrícola
Agrupamiento educacional;Agrupamiento académico
Agrupamiento educacional;Agrupamiento escolar
Agrupamiento educacional;Agrupamiento pedagógico
Agrupamiento por aptitudes;División en función de las aptitudes
Agrupamiento por aptitudes;Grupos de nivel
Agua de mar;Agua marina
Agua de mar;Calidad de las aguas marinas
Agua de mar;Características de las aguas marinas
Agua de mar;Propiedades de las aguas marinas
Agua potable;Agua de beber
Agua potable;Agua del grifo
Agua potable;Agua doméstica
Agua potable;Agua para el consumo
Agua residual;Agua de alcantarilla
Agua salada;Agua salina
Agua salobre;Agua semisalada
Agua superficial;Agua de superficie
Aguas territoriales;Mar territorial
Alambique solar;Destilador solar
Albergue juvenil;Albergue de juventud
Alcantarillado;Alcantarillas
Alcantarillado;Canalización de aguas residuales
Alcantarillado;Cloaca
Alcantarillado;Red de alcantarillas
Alfabeto;Abecedario
Alfabeto;Letras (alfabeto)
Alfombra;Moqueta
Alga marina;Flora marina
Alga marina;Planta marina
Alianza público privada;Partenariado público-privado
Alienación social;Aislamiento social
Alimento;Comida
Alimento;Producto alimenticio
Alimento;Provisiones
Alimento;Sustento
Alimento;Víveres
Alivio de la deuda;Aligeramiento de la deuda
Alivio de la deuda;Conversión de la deuda
Alivio de la deuda;Rebaja de la deuda
Alivio de la deuda;Refinanciación de la deuda
Alivio de la deuda;Renegociación de la deuda
Alivio de la deuda;Reorganización de la deuda
Alivio de la pobreza;Aligeramiento de la pobreza
Alivio de la pobreza;Eliminación de la pobreza
Alivio de la pobreza;Erradicación de la pobreza
Alivio de la pobreza;Lucha contra la pobreza
Alivio de la pobreza;Reducción de la pobreza
Almacenamiento de agua;Reservas de agua
Alojamiento para estudiantes;Residencia de estudiantes
Alta mar;Mar adentro
Alud;Avalancha
Alud;Desprendimiento
Ambiente de trabajo;Ambiente laboral
Ambiente de trabajo;Contexto laboral
Ambiente de trabajo;Entorno laboral
Ambiente de trabajo;Medio laboral
Ambiente educacional;Contexto de aprendizaje
Ambiente educacional;Entorno educacional
Ambiente educacional;Medio de aprendizaje
Amerindio;Indios americanos
Amerindio;Indios del Caribe
Amerindio;Indios norteamericanos
Amerindio;Indios sudamericanos
América Latina;Hispanoamérica
América Latina;Iberoamérica
América Latina;Latinoamérica
América del Norte;Norteamérica
América del Sur;Sudamérica
América del Sur;Suramérica
Analfabeto;Iletrado
Anarquismo;Nihilismo
Anciano;Viejo
Animal salvaje;Animal de caza
Animal salvaje;Caza de pelo
Animal salvaje;Caza de pluma
Animal salvaje;Caza mayor
Animal salvaje;Caza menor
Aniversario;Celebración de aniversarios
Anticoncepción;Contracepción
Antillas Holandesas;Antillas Neerlandesas
Antropología;Antropología física
Antropología cultural;Antropología social y cultural
Antropología cultural;Antropología sociocultural
Anuario;Almanaque
Análisis automático de textos;Clasificación automática
Análisis causal;Causalidad
Análisis comparativo;Examen comparativo
Análisis comparativo;Investigación comparativa
Análisis de inspección;Datos de investigación
Análisis de redes;Método del camino crítico CPM
Análisis de redes;PERT
Análisis del agua;Análisis hidráulico
Análisis documental;Análisis de la información
Análisis económico;Análisis financiero
Análisis factorial;Análisis de factores
Análisis input-output;Análisis de insumo-producto
Análisis input-output;Análisis entrada-salida
Análisis literario;Estudio literario
Análisis literario;Filología
Análisis literario;Investigación literaria
Análisis numérico;Método numérico
Aparato respiratorio;Sistema neumológico
Aparato respiratorio;Sistema respiratorio
Aparato sensorial;Aparato auditivo
Aparato sensorial;Aparato sensitivo
Aparato sensorial;Asistencia auditiva
Aplicación de la ley;Acatamiento de la ley
Aplicación de la ley;Mantenimiento del orden público
Aplicación de la ley;Orden público
Aplicación de la ley;Seguridad interior
Aporte educacional;Inversión en educación
Aporte educacional;Inversión en formación
Apreciación de la actuación;Apreciación del rendimiento
Apreciación de la actuación;Evaluación del personal
Apreciación de la actuación;Evaluación del rendimiento
Apreciación de la actuación;Valoración del personal
Apreciación de la actuación;Valoración del rendimiento
Aprendizaje activo;Aprendizaje a través de la experiencia
Aprendizaje activo;Aprendizaje mediante la praxis
Aprendizaje activo;Aprendizaje mediante la práctica
Aprendizaje activo;Método activo
Aprendizaje en línea;Aprendizaje a distancia
Aprendizaje en línea;Aprendizaje electrónico
Aprendizaje en línea;Aprendizaje móvil
Aprendizaje en línea;Aprendizaje virtual
Aprendizaje en línea;Teleaprendizaje
Aprendizaje informal;Educación informal
Aprovechamiento de recursos;Desarrollo de los recursos
Aprovechamiento de recursos;Fomento de recursos naturales
Aprovechamiento de recursos;Valoración de recursos
Arabia Saudí;Arabia Saudita
Arancel;Barrera aduanera
Arancel;Impuesto aduanero
Arancel;Impuesto arancelario
Arancel;Obstáculo tarifario
Arancel;Tarifa aduanera
Archivero;Archivista
Archivología;Archivística
Archivos;Archivo central
Archivos;Centro de archivos
Archivos;Oficina de archivos
Archivos cinematográficos;Archivos de cine
Archivos del gobierno local;Archivos capitulares
Archivos del gobierno local;Archivos comunales
Archivos del gobierno local;Archivos locales
Archivos del gobierno local;Archivos municipales
Archivos gubernamentales;Archivos diplomáticos
Archivos gubernamentales;Archivos estatales
Archivos gubernamentales;Archivos militares
Archivos gubernamentales;Archivos oficiales
Archivos públicos;Documentos públicos
Arcilla;Barro
Arma;Armamento
Arma nuclear;Arma atómica
Arma nuclear;Armas de destrucción masiva
Arma nuclear;Artefacto nuclear
Arma nuclear;Bomba atómica
Arma nuclear;Bomba nuclear
Arqueología subacuática;Arqueología submarina
Arquitectura interior;Arquitectura de interior
Arquitectura interior;Decoración interior
Arquitectura interior;Diseño de interior
Arquitectura interior;Diseño interior
Arquitectura tradicional;Arquitectura bioclimática
Arquitectura tradicional;Arquitectura popular
Arquitectura tradicional;Arquitectura regional
Arquitectura tradicional;Arquitectura vernácula
Arrecife de coral;Arrecife coralino
Arte asiático;Arte oriental
Arte de la guerra;Arte militar
Arte de vanguardia;Arte vanguardista
Arte digital;Arte electrónico
Arte digital;Arte numérico
Arte digital;Ciber arte
Arte europeo;Arte occidental
Arte latinoamericano;Arte hispanoamericano
Arte latinoamericano;Arte sudamericano
Arte pop;Arte psicodélico
Arte pop;Graffiti
Arte pop;Kitsch
Arte popular;Arte folclórico
Arte popular;Arte folklórico
Arte prehistórico;Arte parietal
Arte primitivo;Arte autóctono
Arte primitivo;Arte indígena
Arte primitivo;Arte nativo
Arte primitivo;Arte tribal
Artes escénicas;Acrobacia
Artes escénicas;Circo
Artes textiles;Artesanado textil
Artesanía;Arte y artesanado
Artesanía;Cestería
Artesanía;Obra artesanal
Artista;Diseñador gráfico
Artista;Fotógrafo
Artista;Grafista
Artista escénico;Artista del espectáculo
Asentamiento humano;Colonización rural
Asentamiento humano;Establecimiento humano
Asesoramiento;Consejo
Asesoramiento;Orientación
Asesoramiento jurídico;Asesoramiento legal
Asesoramiento jurídico;Asistencia judicial
Asesoramiento jurídico;Asistencia jurídica
Asesoramiento jurídico;Asistencia legal
Asia Oriental;Asia del Este
Asia Oriental;Extremo Oriente
Asia Oriental;Lejano Oriente
Asia del Sur;Surasia
Asia y el Pacífico;Región del Pacífico
Asignación de recursos;Atribución de recursos
Asignación de recursos;Concesión de recursos
Asignaturas de enseñanza básica;Materia de enseñanza básica
Asignaturas de enseñanza profesional;Materias de enseñanza profesional
Asistencia escolar;Frecuentación del colegio
Asistencia escolar;Presencia en el colegio
Asistencia escolar;Tasa de asistencia escolar
Asistencia por desastre;Asistencia de urgencia
Asistencia por desastre;Auxilio en desastres
Asistencia por desastre;Ayuda de urgencia
Asistencia por desastre;Socorro de urgencia
Asiático;Oriental
Asociación de padres y profesores;Asociación de padres de alumnos
Atleta;Deportista
Atleta;Gimnasta
Atmósfera;Aire
Atmósfera;Atmósfera terrestre
Atribución de frecuencias;Adjudicación de frecuencias
Atribución de frecuencias;Distribución de frecuencias
Atribución de frecuencias;Reparto de frecuencias
Audioteca;Discoteca
Auditoría de gestión;Control de gestión
Auditoría financiera;Control de las cuentas
Auditoría financiera;Examen de la gestión económica
Auditoría financiera;Revisión de las cuentas
Auditoría financiera;Verificación contable
Auditoría financiera;Verificación de las cuentas
Auditoría financiera;Verificación de los estados financieros
Ausencia injustificada;Abstentismo escolar
Autoaprendizaje;Autodidacta
Autoaprendizaje;Autodidactismo
Autoaprendizaje;Autoeducación
Autoaprendizaje;Método de autoaprendizaje
Autodisciplina;Autocontrol
Autodisciplina;Control de sí mismo
Autogestión;Estado autónomo
Automatización de bibliotecas;Biblioteca computerizada
Automatización de bibliotecas;Biblioteca informatizada
Automatización de bibliotecas;Documentación computerizada
Automatización de bibliotecas;Documentación informatizada
Autonomía educativa;Autogestión educativa
Autonomía educativa;Independencia educativa
Autor;Guionista
Autoridad del docente;Autoridad del profesor
Autosuficiencia;Desarrollo alternativo
Ave;Pájaro
Avión;Aeronave
Avión;Aeroplano
Avión;Avioneta
Ayuda al desarrollo;Apoyo al desarrollo
Ayuda al desarrollo;Asistencia al desarrollo
Ayuda al exterior;Apoyo al exterior
Ayuda al exterior;Asistencia al exterior
Ayuda alimentaria;Asistencia alimenticia
Ayuda alimentaria;Ayuda alimenticia
Ayuda bilateral;Apoyo bilateral
Ayuda bilateral;Asistencia bilateral
Ayuda económica;Apoyo económico
Ayuda económica;Asistencia económica
Ayuda educativa;Apoyo a la formación
Ayuda educativa;Asistencia a la formación
Ayuda educativa;Ayuda a la educación
Ayuda educativa;Misión educativa
Ayuda estatal;Asistencia gubernamental
Ayuda estatal;Asistencia pública
Ayuda estatal;Ayuda gubernamental
Ayuda estatal;Ayuda pública
Ayuda financiera;Apoyo financiero
Ayuda financiera;Asistencia financiera
Ayuda financiera;Soporte financiero
Ayuda financiera;Sustento financiero
Ayuda humanitaria;Apoyo humanitario
Ayuda multilateral;Apoyo multilateral
Ayuda multilateral;Asistencia multilateral
Ayuda vinculada;Ayuda condicionada
Azúcar;Azúcar de caña
Azúcar;Caña de azúcar
Año académico;Año escolar
Año académico;Año universitario
Año académico;Curso
Bahamas;Commonwealth de las Bahamas
Bahrein;Bahrain
Bailarín;Coreógrafo
Balanza comercial;Exportaciones
Balanza comercial;Importaciones
Ballet;Ballet clásico
Ballet;Danza clásica
Banco;Caja de ahorros
Banco;Operación bancaria
Barrera lingüística;Barrera del idioma
Barrera lingüística;Obstáculo lingüístico
Base de datos;Banco de datos
Base de datos a texto completo;Base de datos en texto integral
Base de datos bibliográfica;Banco de datos bibliográfico
Batimetría;Estudio batimétrico
Bebida alcohólica;Cerveza
Bebida alcohólica;Licores
Bebida alcohólica;Vino
Beca de investigación;Ayuda a la investigación
Beca de investigación;Subvención a investigadores
Belarrús;Belarrusia
Belarrús;Bielorrusia
Belice;Honduras británica
Beneficios complementarios;Beneficios marginales
Benin;Dahomey
Bibliografía;Bibliografía internacional
Bibliología;Bibliofilia
Bibliología;Bibliometría
Biblioteca de arte;Biblioteca de museo
Biblioteca de depósito;Biblioteca de depósito legal
Biblioteca de empresa;Biblioteca comercial
Biblioteca de empresa;Biblioteca empresarial
Biblioteca de investigación;Biblioteca científica
Biblioteca de periódicos;Hemeroteca
Biblioteca del gobierno;Biblioteca parlamentaria
Biblioteca digital;Biblioteca electrónica
Biblioteca digital;Biblioteca virtual
Biblioteca institucional;Biblioteca de barco
Biblioteca institucional;Biblioteca de prisión
Biblioteca jurídica;Biblioteca de derecho
Biblioteca municipal;Biblioteca local
Biblioteca móvil;Bibliobús
Biblioteca móvil;Biblioteca itinerante
Biblioteca nacional;Biblioteca estatal
Biblioteca para niños;Biblioteca infantil
Biblioteca universitaria;Biblioteca académica
Bibliotecario;Catalogador
Bibliotecario;Documentalista
Bibliotecario escolar;Bibliotecario de colegio
Bielorruso;Belorruso
Bielorruso;Bielarruso
Bien cultural;Propiedad cultural
Bienestar de la infancia;Ayuda a la infancia
Bienestar de la infancia;Protección de la infancia
Bienestar de la madre;Protección de la madre y el niño
Bienestar de la madre;Protección maternal e infantil
Bienestar del estudiante;Protección social del estudiante
Bienestar del estudiante;Seguridad social del estudiante
Bienestar social;Asistencia social
Bienestar social;Ayuda social
Bienestar social;Planificación de la ayuda social
Bienestar social;Política de ayuda social
Bienestar social;Protección social
Biofísica;Biocinemática
Biofísica;Biofísica humana
Biofísica;Biomecánica
Biología;Ciencias biológicas
Biología agrícola;Biología agraria
Biología celular;Citología
Biología celular;Citoquímica
Biología espacial;Astrobiología
Biología marina;Biología acuática
Bioma;Región ecológica
Bioquímica;Bioquímica humana
Biotecnología;Bioingeniería
Biotecnología;Ingeniería biológica
Biotecnología;Ingeniería genética
Bolivia;Estado Plurinacional de Bolivia
Bonos UNESCO;Cupones UNESCO
Botswana;Botsuana
Botánica;Biología de las plantas
Botánica;Investigación botánica
Boya oceanográfica;Boya acuática
Boya oceanográfica;Boya marina
Boya oceanográfica;Boya marítima
Braille;Braile
Brecha digital;Fractura digital
Brecha generacional;Conflicto de generaciones
Brujería;Hechizería
Brunei Darussalam;Brunei
Buque;Barco
Buque;Embarcación
Buque;Navío
Burkina Faso;Alto Volta
Búsqueda en línea;Búsqueda documental en línea
Búsqueda en línea;Búsqueda on line
Cal;Caliza
Cal;Piedra caliza
Calentamiento de la tierra;Calentamiento global
Calentamiento de la tierra;Efecto invernadero
Calibración;Calibrado
Calidad ambiental;Calidad del entorno
Calidad ambiental;Calidad medioambiental
Calidad de la educación;Mejora de la educación
Calidad de la educación;Progreso educativo
Calidad de la vida laboral;Bienestar laboral
Calidad de la vida laboral;Humanización del trabajo
Calor terrestre;Calor terráqueo
Calor terrestre;Geotemperatura
Calor terrestre;Geotermia
Cambio cultural;Mutación cultural
Cambio cultural;Transformación cultural
Cambio de actitud;Cambio de mentalidad
Cambio organizacional;Cambio estructural
Cambio social;Dinámica social
Cambio social;Mutación social
Cambio social;Progreso social
Cambio social;Transformación social
Cambio tecnológico;Nuevas tecnologías
Cambio tecnológico;Revolución tecnológica
Camboya;Cambodia
Camboya;Kampuchea
Campo de concentración;Campo de exterminio
Capacidad;Capacidad intelectual
Capital social;Lazo social
Capital social;Red social
Caribe;Antillas
Cartel;Póster
Cartografía;Mapas
Cartografía;Planos
Casa;Apartamento
Casa;Departamento
Casa;Hogar
Casa;Piso
Casa;Residencia
Casa móvil;Autocaravana
Casa móvil;Caravana
Casa móvil;Rulot
Casta;Linaje
Castigo escolar;Expulsión escolar
Castigo escolar;Sanción escolar
