
03/12/2014,Hipoteca,Otros hipotecaria,"Préstamo modificación, recopilación, hipoteca",,,,M&T BANK CORPORATION,MI,48382,,N/A,Referral,03/17/2014,Closed with explanation,Yes,No,759217,5,62,1
10/01/2016,Crédito de presentación,,Información incorrecta sobre el informe de crédito,Estado de cuenta,Tengo información obsoleta sobre mi informe de crédito que he disputado previamente que todavía no se ha eliminado esta información es más luego de siete años y no cumple los requisitos de informes de crédito,Company ha respondido a los consumidores y el CFPB y elige no proporcionar una respuesta pública,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",AL,352XX,,Consent provided,Web,10/05/2016,Closed with explanation,Yes,No,2141773,60,363,2
10/17/2016,Préstamos del Consumidor,Vehículo préstamo,Gestión del arrendamiento o préstamo,,"He adquirido un nuevo auto en XXXX XXXX. El concesionario de automóviles llamado Citizens Bank para obtener una recompensa de 10 días en mi préstamo, bueno hasta XXXX XXXX. El concesionario envió al comprobar el día siguiente. Cuando mi chequera equilibrada en XXXX XXXX. He notado que los bancos habían tomado el pago automático de mi cuenta corriente XXXX XXXX XXXX en el Banco. Llamé a los ciudadanos y declararon que no cierre el préstamo hasta XXXX XXXX. (indicando que no recibe la selección hasta XXXX. XXXX. ). Les dije que yo no creo que la selección tuvo que llegar a tiempo. XXXX me dijo una selección me fue emitida por el monto pagado, se deducen intereses adicionales. Hoy (XXXX, XXXX) llamado Citizens Bank y me habló con un supervisor denominado XXXX, XXXX porque en XXXX. He recibido una carta que el préstamo había sido pagado íntegramente (fecha XXXX, XXXX) pero no se incluye comprobación de reembolso. XXXX afirmó que tienen algún pago por 10 días hábiles después del préstamo fue satisfecho y que mi selección sería enviada a Mié. en la XX/XX/XXXX. Me interrogaron sobre la demora en publicar el pago traficante y ella primero afirmó que a veces tarda 3 o 4 días hábiles para publicar, dijo que no recibió la selección hasta XXXX XXXX nuevamente le dijo que yo no creo esto y le preguntó dónde está mi dinero. Luego afirmó que tienen el pago por 10 días hábiles. Le pregunté por qué, y simplemente dijo que ella es su política. Le pregunté si me recibiría interés en mi dinero y dijo que no. Creo que los bancos está demorando deliberadamente la contabilización de pago y la devolución de dinero del consumidor para hacer interés adicional para el banco. Si esto no es ilegal, no debe afectar al consumidor y no es ético. La cantidad de dinero perdido es mínimo pero si están haciendo miles de préstamos de automóviles en un mes, entonces el interés adicional obtenido por ellos podrían ser sorprendentes. Todavía tengo otro préstamo de coche Citizens Bank y me temo que cuando el comercio de automóviles en un año que se ejecutará en el mismo problema de nuevo.",,"CITIZENS FINANCIAL GROUP, INC.",PA,177XX,Older American,Consent provided,Web,10/20/2016,Closed with explanation,Yes,No,2163100,410,2093,3
06/08/2014,Tarjeta de crédito,,Quiebra,,,,AMERICAN EXPRESS COMPANY,ID,83854,Older American,N/A,Web,06/10/2014,Closed with explanation,Yes,Yes,885638,3,21,4
09/13/2014,Deuda de colección,Tarjeta de crédito,Comunicación tácticas,O repetidas llamadas frecuentes,,,"CITIBANK, N.A.",VA,23233,,N/A,Web,09/13/2014,Closed with explanation,Yes,Yes,1027760,10,73,5
11/13/2013,Hipoteca,Hipotecas ajustables convencionales (ARM),"Préstamo de servicios, pagos, cuenta bloqueada",,,,U.S. BANCORP,MN,48322,,N/A,Phone,11/20/2013,Closed with monetary relief,Yes,No,596562,10,86,6
06/16/2015,Deuda de colección,Médico,Inadecuada o compartir información de contacto,Contactado después pidió no empleador,,Compañía estima que actuó correctamente como autorizado por contrato o ley,California Accounts Service,CA,92111,,Consent not provided,Web,06/19/2015,Closed with explanation,Yes,No,1422680,26,166,7
06/15/2015,Crédito de presentación,,Informes de investigación de la compañía,La falta de ayuda por teléfono,"Una cuenta en mi informe de crédito tiene una fecha equivocada. Me envió en una carta la deuda para permitir la validación XXXX para corregir la información. He recibido una carta en el correo, indicando que Experian recibió mi correspondencia y encontraron que era ""sospechoso 'y que"" n' t hice escribirlo'. La carta de Experian está redactado para entender que soy incapaz de escribir mi carta. Estaba profundamente ofendidos por esta implicación. 
Llamé a Experian para averiguar por qué mi carta fue tan sospechosa. Hablé con un representante que fue increíblemente inútil, no hizo ninguna pregunta respuesta efectiva de ella, y me pidió que mantenga ignorando lo que estaba diciendo sobre la carta ofensiva y mi proceso de disputa. Creo que el representante hizo lo que quería hacer, y no estoy satisfecho. TODAVÍA no es claro por qué me he recibido esta carta. He escrito esta carta, he firmado esta carta, y he pagado a correo esta carta, aunque Experian deliberadamente ignorado mi petición legítima. 
Estoy disgustado con toda esta situación, y me gustaría que mi disputa sea manejada adecuadamente, y quisiera que un representante de Experian en ponerse en contacto conmigo y me dé una explicación real para esta carta.",Empresa elige no proporcionar una respuesta pública,Experian Information Solutions Inc.,VA,224XX,,Consent provided,Web,06/15/2015,Closed with explanation,Yes,No,1420702,231,1299,8
11/13/2015,Hipoteca,Otros hipotecaria,"Préstamo modificación, recopilación, hipoteca",,,Compañía estima que actuó correctamente como autorizado por contrato o ley,"Aldridge Pite, LLP",CA,93101,,N/A,Referral,12/10/2015,Closed with explanation,Yes,Yes,1654890,16,134,9
10/21/2014,Hipoteca,Hipotecarias fijas convencionales,"Préstamo modificación, recopilación, hipoteca",,,,OCWEN LOAN SERVICING LLC,FL,32714,Older American,N/A,Web,10/21/2014,Closed with explanation,Yes,No,1079567,6,75,10
