abastecimiento de agua;necesidad de agua
abastecimiento de agua;distribución de agua
abastecimiento de agua;suministro de agua
abastecimiento de energía;aprovisionamiento de energía
abastecimiento de energía;suministro de energía
abastecimiento de energía;aporte de energía
abuso de menores;pedofilia
abuso de menores;agresión infantil
abuso de menores;violencia infantil
abuso de menores;maltrato infantil
abuso sexual;violación
abuso sexual;violencia sexual
abuso sexual;acoso sexual
violación;falta
violación;violación
violación;infracción
violación;contravención
violación;ofensa
violación;invasión
acceso a la información;disponibilidad de la información
acceso a la información;accesibilidad a la información
acceso a la información;obstáculo a la comunicación
acceso a la información;barrera a la información
acceso aleatorio;acceso casual
acceso aleatorio;acceso directo
acceso aleatorio;acceso selectivo
acceso aleatorio;acceso al azar
acción comunitaria;labor comunitaria
acción comunitaria;trabajo comunitario
acreditación (educación);escuela acreditada
acreditación (educación);institución educativa acreditada
acreditación (educación);colegio acreditado
actividad solar;perturbación solar
actividad solar;mancha solar
acuicultura;piscicultura
acuicultura;cría de peces
aculturación;asimilación cultural
aculturación;integración cultural
acumulación de calor;acumulación térmica
acumulación de calor;almacenamiento de calor
acumulación de calor;acumulación calorífica
acústica;acústica
audio;audiofrecuencia
audio;sonido
audio;volumen
audio;audio
sonido;sentido del oído
sonido;sonido
sonido;ruido
sonido;volumen
sonido;audio
vibración;vibraciones
vibración;temblor
vibración;oscilación
vibración;vibración
vibración;rollo
administración de justicia;acción jurídica
administración de justicia;práctica del derecho
administración de justicia;acción judicial
administración de justicia;práctica jurídica
administración de la ciencia;gestión de la investigación
administración de la ciencia;administración de la investigación
administración de la ciencia;administración de la tecnología
administración de la comunicación;administración de los medios de comunicación
administración de la comunicación;gestión de los medios de comunicación
administración local;administración regional
administración local;gobierno local
administración local;autoridad regional
administración local;gobierno regional
administración local;autoridad local
administrador de la educación;inspector de la educación
administrador de la educación;director de colegio
administrador de la educación;decano
administrador de la educación;rector
afectividad;simpatía
afectividad;cariño
afectividad;afectividad
afectividad;ternura
afectividad;afecto
afectividad;afección
amor;esmero
amor;pasión
amor;amado
amor;cariño
amor;amorío
amor;sol
amor;enlace
amor;implicación
amor;asunto
amor;aventura
amor;intimidad
amor;devoción
amor;corazón
amor;ternura
amor;afecto
amor;cielo
amor;amor
amor;afección
sentimiento;sensación
sentimiento;impresión
sentimiento;creencia
sentimiento;sentimiento
agencia de noticias;servicio de noticias
agencia de noticias;agencia de información
agente cultural;animador cultural
agente cultural;trabajador cultural
agente cultural;animador sociocultural
agitación estudiantil;disturbio universitario
agitación estudiantil;revuelta universitaria
agitación estudiantil;disturbio estudiantil
agitación estudiantil;revuelta estudiantil
agricultor;labrador
agricultor;agricultor
agricultor;campesino
agricultor;obrero agrícola
agricultor;trabajador agrícola
agricultor;ranchero
agricultor;granjero
granjero;agricultor
granjero;campesino
granjero;obrero agrícola
granjero;trabajador agrícola
granjero;ranchero
granjero;granjero
agroindustria;industria agraria
agroindustria;industria agrícola
agrupamiento educacional;agrupamiento pedagógico
agrupamiento educacional;agrupamiento escolar
agrupamiento educacional;agrupamiento académico
agrupamiento por aptitudes;grupos de nivel
agrupamiento por aptitudes;división en función de las aptitudes
agua de mar;agua de mar
agua de mar;salmuera
agua potable;agua del grifo
agua potable;agua doméstica
agua potable;agua de beber
agua potable;agua para el consumo
albergue juvenil;hostal de estudiantes
albergue juvenil;albergue juvenil
albergue juvenil;youth hostel
alcantarillado;alcantarillado
alcantarillado;residuos
alfabeto;alfabeto
alga marina;flora marina
alga marina;planta marina
alimento;nutrimento
alimento;comida
alimento;nutrición
alimento;nutriente
alimento;alimento
alimento;sustento
comida;nutrimento
comida;comida
comida;cena
comida;alimentación
comida;dieta
comida;producto alimenticio
comida;nutrición
comida;tiffin
comida;nutriente
comida;alimento
comida;colación
comida;sustento
comida;refrigerio
comida;merienda
comida;almuerzo
producto alimenticio;comida
producto alimenticio;producto alimenticio
sustento;nutrimento
sustento;comida
sustento;nutrición
sustento;nutriente
sustento;alimento
sustento;sustento
alivio de la deuda;renegociación de la deuda
alivio de la deuda;rebaja de la deuda
alivio de la deuda;reorganización de la deuda
alivio de la deuda;refinanciación de la deuda
alivio de la deuda;aligeramiento de la deuda
alivio de la deuda;conversión de la deuda
alivio de la pobreza;erradicación de la pobreza
alivio de la pobreza;eliminación de la pobreza
alivio de la pobreza;aligeramiento de la pobreza
alivio de la pobreza;lucha contra la pobreza
alivio de la pobreza;reducción de la pobreza
residencia de estudiantes;residencia universitaria
residencia de estudiantes;residencia de estudiantes
residencia de estudiantes;residencia
alud;avalancha
alud;desprendimiento
avalancha;barbaridad
avalancha;passel
avalancha;montón
avalancha;afluir
avalancha;avalancha
avalancha;cantidad
avalancha;bestialidad
avalancha;montaña
avalancha;enormidad
avalancha;lote
avalancha;multitud
avalancha;burrada
avalancha;pila
avalancha;cúmulo
avalancha;mogollón
avalancha;fajo
avalancha;corriente interna
desprendimiento;desapego
desprendimiento;desunión
desprendimiento;separación
desprendimiento;alejamiento
desprendimiento;desprendimiento
ambiente de trabajo;ambiente laboral
ambiente de trabajo;entorno laboral
ambiente de trabajo;contexto laboral
ambiente de trabajo;medio laboral
ambiente educacional;medio de aprendizaje
ambiente educacional;contexto de aprendizaje
ambiente educacional;entorno educacional
amerindio;amerindio
amerindio;indio
amerindio;nativo americano
américa latina;hispanoamérica
américa latina;iberoamérica
américa latina;latinoamérica
américa del sur;sudamérica
américa del sur;suramérica
américa del sur;américa del sur
sudamérica;sudamérica
sudamérica;suramérica
sudamérica;américa del sur
suramérica;sudamérica
suramérica;suramérica
suramérica;américa del sur
analfabeto;analfabeto
nihilismo;nihilista
nihilismo;nihilismo
anciano;anciano
anciano;abuelo
anciano;viejo
anciano;antigualla
anciano;vejestorio
anciano;carcamal
anciano;veterano
anciano;matusalén
viejo;anciano
viejo;abuelo
viejo;viejo
viejo;antigualla
viejo;vejestorio
viejo;carcamal
viejo;veterano
viejo;matusalén
animal salvaje;caza mayor
animal salvaje;caza de pelo
animal salvaje;animal de caza
animal salvaje;caza de pluma
animal salvaje;caza menor
aniversario;aniversario
aniversario;cumpleaños
antropología cultural;antropología social y cultural
antropología cultural;antropología sociocultural
análisis comparativo;investigación comparativa
análisis comparativo;examen comparativo
análisis de redes;pert
análisis de redes;método del camino crítico cpm
análisis input-output;análisis entrada-salida
análisis input-output;análisis de insumo-producto
análisis literario;filología
análisis literario;estudio literario
análisis literario;investigación literaria
aparato respiratorio;sistema respiratorio
aparato respiratorio;sistema neumológico
aparato sensorial;aparato auditivo
